name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
CounterValueMaxInq_RegAddr,Integer,,CounterValueMaxInq_RegAddr,,,,,,,
CounterValueMinInq_Reg,IntReg,,CounterValueMinInq_Reg,,RO,,,,,
CounterValueMinInq_RegAddr,Integer,,CounterValueMinInq_RegAddr,,,,,,,
CounterValue_Reg,IntReg,,CounterValue_Reg,,RW,,,,,
CounterValue_RegAddr,Integer,,CounterValue_RegAddr,,,,,,,
CreateShadingSet,Enumeration,,Create Shading Set,Expert,RW,Creates a shading set.,,,,
CreateShadingSetInq_RegAddr,Integer,,CreateShadingSetInq_RegAddr,,,,,,,
CreateShadingSet_Reg,IntReg,,CreateShadingSet_Reg,,RW,,,,,
CreateShadingSet_RegAddr,Integer,,CreateShadingSet_RegAddr,,,,,,,
CtrlTransCtrlInq_RegAddr,Integer,,CtrlTransCtrlInq_RegAddr,,,,,,,
DCCEnable_Reg,IntReg,,DCCEnable_Reg,,RW,,,,,
DCCEnable_RegAddr,Integer,,DCCEnable_RegAddr,,,,,,,
DCCIndexIncInq_RegAddr,Integer,,DCCIndexIncInq_RegAddr,,,,,,,
DCCIndexInc_Reg,IntReg,,DCCIndexInc_Reg,,RO,,,,,
